# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
2 2 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.398856873744076e+00 -1.800825362849797e+00 3.610959875477652e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.401856062407861e+00 -1.797203165393912e+00 3.633350524152537e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.404873327215292e+00 -1.793558830936186e+00 3.655233778004195e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.407908687015488e+00 -1.789892867128949e+00 3.676609167751873e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.410962157970149e+00 -1.786205781957769e+00 3.697476495040132e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.414033753592101e+00 -1.782498083473996e+00 3.717835825512959e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.417123484784377e+00 -1.778770279534236e+00 3.737687481842449e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.420231359879788e+00 -1.775022877546827e+00 3.757032036722529e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.423357384680933e+00 -1.771256384225334e+00 3.775870305837871e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.426501562500612e+00 -1.767471305349074e+00 3.794203340817986e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.429663894202596e+00 -1.763668145530700e+00 3.812032422185631e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.432844378242705e+00 -1.759847407990837e+00 3.829359052308694e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.436043010710162e+00 -1.756009594339748e+00 3.846184948364243e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.439259785369180e+00 -1.752155204366039e+00 3.862512035322900e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.442494693700743e+00 -1.748284735832363e+00 3.878342438961485e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.445747724944546e+00 -1.744398684278090e+00 3.893678478911476e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.159999999999997e+00 4.629629629629637e-01 -2.449018866141051e+00 -1.740497542828911e+00 3.908522661750178e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.169999999999996e+00 4.608294930875584e-01 -2.452308102173637e+00 -1.736581802013331e+00 3.922877674142046e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.179999999999996e+00 4.587155963302760e-01 -2.455615415810803e+00 -1.732651949585977e+00 3.936746376035578e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.189999999999996e+00 4.566210045662109e-01 -2.458940787748379e+00 -1.728708470357704e+00 3.950131793922789e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.199999999999996e+00 4.545454545454554e-01 -2.462284196651745e+00 -1.724751846032383e+00 3.963037114166397e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.209999999999996e+00 4.524886877828063e-01 -2.465645619197994e+00 -1.720782555050339e+00 3.975465676400320e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.219999999999995e+00 4.504504504504514e-01 -2.469025030118035e+00 -1.716801072438350e+00 3.987420967008530e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.229999999999995e+00 4.484304932735436e-01 -2.472422402238593e+00 -1.712807869666120e+00 3.998906612686790e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.239999999999995e+00 4.464285714285725e-01 -2.475837706524086e+00 -1.708803414509153e+00 4.009926374091856e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.249999999999995e+00 4.444444444444455e-01 -2.479270912118357e+00 -1.704788170917926e+00 4.020484139582099e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.259999999999994e+00 4.424778761061958e-01 -2.482721986386224e+00 -1.700762598893278e+00 4.030583919053536e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.269999999999994e+00 4.405286343612346e-01 -2.486190894954835e+00 -1.696727154367918e+00 4.040229837873947e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.279999999999994e+00 4.385964912280713e-01 -2.489677601754808e+00 -1.692682289093940e+00 4.049426130919464e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.289999999999994e+00 4.366812227074248e-01 -2.493182069061127e+00 -1.688628450536251e+00 4.058177136715868e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.299999999999994e+00 4.347826086956534e-01 -2.496704257533767e+00 -1.684566081771809e+00 4.066487291686531e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.309999999999993e+00 4.329004329004341e-01 -2.500244126258058e+00 -1.680495621394556e+00 4.074361124510775e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.319999999999993e+00 4.310344827586219e-01 -2.503801632784726e+00 -1.676417503425938e+00 4.081803250593340e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.329999999999993e+00 4.291845493562245e-01 -2.507376733169639e+00 -1.672332157230890e+00 4.088818366648429e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.339999999999993e+00 4.273504273504287e-01 -2.510969382013202e+00 -1.668240007439197e+00 4.095411245397655e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.349999999999993e+00 4.255319148936184e-01 -2.514579532499420e+00 -1.664141473872080e+00 4.101586730385640e-01
2 2 1.000000000000000e+00 1.000000000000000e+00 2.359999999999992e+00 4.237288135593234e-01 -2.518207136434579e+00 -1.660036971473922e+00 4.107349730912759e-01
