# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.051585626680925e+00 -1.745564575312553e+00 7.248714486015806e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.053133983944020e+00 -1.738219111143211e+00 7.443423493151966e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.054719375621983e+00 -1.730675217124071e+00 7.645668296476625e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.056342619809740e+00 -1.722925063641480e+00 7.856048389257252e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.058004566646938e+00 -1.714960184027858e+00 8.075240454920615e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.059706101169089e+00 -1.706771390716257e+00 8.304012149614919e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.061448146548123e+00 -1.698348676069129e+00 8.543239106463908e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.063231667795737e+00 -1.689681094209394e+00 8.793926109653678e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.065057676021281e+00 -1.680756619072495e+00 9.057233728860866e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.066927233359511e+00 -1.671561972377098e+00 9.334512195946405e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.068841458715153e+00 -1.662082413094370e+00 9.627345023406583e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.070801534514064e+00 -1.652301476998586e+00 9.937605932172808e-01
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.072808714708855e+00 -1.642200650560061e+00 1.026753428014828e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.074864334367946e+00 -1.631758957081926e+00 1.061983671034781e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.076969821292992e+00 -1.620952423405133e+00 1.099782677708083e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.079126710276021e+00 -1.609753380705651e+00 1.140562096069468e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.159999999999997e+00 4.629629629629637e-01 -2.081336660858398e+00 -1.598129529347240e+00 1.184842081523400e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.169999999999996e+00 4.608294930875584e-01 -2.083601479834829e+00 -1.586042658953150e+00 1.233293107631578e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.179999999999996e+00 4.587155963302760e-01 -2.085923150352356e+00 -1.573446848385259e+00 1.286800080554678e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.189999999999996e+00 4.566210045662109e-01 -2.088303870452806e+00 -1.560285851001370e+00 1.346564756512770e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.199999999999996e+00 4.545454545454554e-01 -2.090746105633464e+00 -1.546489144098466e+00 1.414277691343223e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.209999999999996e+00 4.524886877828063e-01 -2.093252663160552e+00 -1.531965661265006e+00 1.492425393700188e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.219999999999995e+00 4.504504504504514e-01 -2.095826802082378e+00 -1.516593207560968e+00 1.584884468874388e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.229999999999995e+00 4.484304932735436e-01 -2.098472406292229e+00 -1.500199035845855e+00 1.698200114101073e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.239999999999995e+00 4.464285714285725e-01 -2.101194280771628e+00 -1.482519791978825e+00 1.844786546418505e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.249999999999995e+00 4.444444444444455e-01 -2.103998727407081e+00 -1.463102732587119e+00 2.053077025387591e+00
32768 32768 1.000000000000000e+00 1.000000000000000e+00 2.259999999999994e+00 4.424778761061958e-01 -2.106894940659191e+00 -1.440968601944635e+00 2.418038021642037e+00
