# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.051585625394874e+00 -1.745564575312558e+00 7.248714486015766e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.053133982651565e+00 -1.738219111143208e+00 7.443423493152014e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.054719374323069e+00 -1.730675217124075e+00 7.645668296476811e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.056342618504446e+00 -1.722925063641473e+00 7.856048389257260e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.058004565335174e+00 -1.714960184027859e+00 8.075240454920883e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.059706099850886e+00 -1.706771390716253e+00 8.304012149614795e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.061448145223454e+00 -1.698348676069129e+00 8.543239106464161e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.063231666464707e+00 -1.689681094209393e+00 8.793926109653434e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.065057674683785e+00 -1.680756619072492e+00 9.057233728861050e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.066927232015578e+00 -1.671561972377098e+00 9.334512195946287e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.068841457364818e+00 -1.662082413094367e+00 9.627345023406566e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.070801533157276e+00 -1.652301476998586e+00 9.937605932173011e-01
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.072808713345643e+00 -1.642200650560059e+00 1.026753428014879e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.074864332998345e+00 -1.631758957081924e+00 1.061983671034788e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.076969819916920e+00 -1.620952423405136e+00 1.099782677708078e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.079126708893520e+00 -1.609753380705649e+00 1.140562096069450e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.159999999999997e+00 4.629629629629637e-01 -2.081336659469463e+00 -1.598129529347240e+00 1.184842081523400e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.169999999999996e+00 4.608294930875584e-01 -2.083601478439475e+00 -1.586042658953152e+00 1.233293107631576e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.179999999999996e+00 4.587155963302760e-01 -2.085923148950550e+00 -1.573446848385256e+00 1.286800080554663e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.189999999999996e+00 4.566210045662109e-01 -2.088303869044563e+00 -1.560285851001370e+00 1.346564756512794e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.199999999999996e+00 4.545454545454554e-01 -2.090746104218799e+00 -1.546489144098461e+00 1.414277691343203e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.209999999999996e+00 4.524886877828063e-01 -2.093252661739497e+00 -1.531965661265006e+00 1.492425393700169e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.219999999999995e+00 4.504504504504514e-01 -2.095826800654878e+00 -1.516593207560965e+00 1.584884468874366e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.229999999999995e+00 4.484304932735436e-01 -2.098472404858323e+00 -1.500199035845857e+00 1.698200114101067e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.239999999999995e+00 4.464285714285725e-01 -2.101194279331248e+00 -1.482519791978823e+00 1.844786546418531e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.249999999999995e+00 4.444444444444455e-01 -2.103998725960309e+00 -1.463102732587119e+00 2.053077025387644e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.259999999999994e+00 4.424778761061958e-01 -2.106894939206003e+00 -1.440968601944636e+00 2.418038021641920e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.269999999999994e+00 4.405286343612346e-01 -2.109901458786366e+00 -1.410864432989508e+00 3.616401938653611e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.279999999999994e+00 4.385964912280713e-01 -2.113044772191206e+00 -1.383582716170002e+00 2.338146517990996e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.289999999999994e+00 4.366812227074248e-01 -2.116292611402733e+00 -1.361991216994269e+00 2.015276646470900e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.299999999999994e+00 4.347826086956534e-01 -2.119628899001074e+00 -1.342866387695937e+00 1.822368686123068e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.309999999999993e+00 4.329004329004341e-01 -2.123044618664615e+00 -1.325364028912172e+00 1.684623947498851e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.319999999999993e+00 4.310344827586219e-01 -2.126533378551691e+00 -1.309072778200028e+00 1.577596619463370e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.329999999999993e+00 4.291845493562245e-01 -2.130090211127217e+00 -1.293747218989203e+00 1.490186727239337e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.339999999999993e+00 4.273504273504287e-01 -2.133711051214299e+00 -1.279223865345061e+00 1.416404644388193e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.349999999999993e+00 4.255319148936184e-01 -2.137392459168578e+00 -1.265385845483670e+00 1.352646902731890e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.359999999999992e+00 4.237288135593234e-01 -2.141131455673769e+00 -1.252145384230342e+00 1.296575654578795e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.369999999999992e+00 4.219409282700436e-01 -2.144925414974114e+00 -1.239434104995663e+00 1.246587368582353e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.379999999999992e+00 4.201680672268922e-01 -2.148771991762264e+00 -1.227197219210995e+00 1.201534066407189e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.389999999999992e+00 4.184100418410057e-01 -2.152669068854381e+00 -1.215389830073342e+00 1.160565471391176e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.399999999999991e+00 4.166666666666681e-01 -2.156614718416958e+00 -1.203974467914567e+00 1.123034124669924e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.409999999999991e+00 4.149377593361011e-01 -2.160607172411234e+00 -1.192919383070282e+00 1.088435539236212e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.419999999999991e+00 4.132231404958693e-01 -2.164644799532942e+00 -1.182197325679980e+00 1.056368926298480e+00
524288 524288 1.000000000000000e+00 1.000000000000000e+00 2.429999999999991e+00 4.115226337448575e-01 -2.168726086862062e+00 -1.171784650182838e+00 1.026510549896044e+00
