# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.051585625409997e+00 -1.745564575312557e+00 7.248714486015873e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.053133982666750e+00 -1.738219111143204e+00 7.443423493152238e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.054719374338354e+00 -1.730675217124078e+00 7.645668296476785e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.056342618519762e+00 -1.722925063641480e+00 7.856048389257430e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.058004565350622e+00 -1.714960184027858e+00 8.075240454920453e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.059706099866399e+00 -1.706771390716260e+00 8.304012149614759e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.061448145239074e+00 -1.698348676069132e+00 8.543239106463877e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.063231666480327e+00 -1.689681094209394e+00 8.793926109653666e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.065057674699526e+00 -1.680756619072498e+00 9.057233728860817e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.066927232031412e+00 -1.671561972377103e+00 9.334512195946667e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.068841457380706e+00 -1.662082413094370e+00 9.627345023406556e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.070801533173253e+00 -1.652301476998587e+00 9.937605932172671e-01
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.072808713361670e+00 -1.642200650560066e+00 1.026753428014829e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.074864333014418e+00 -1.631758957081923e+00 1.061983671034756e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.076969819933093e+00 -1.620952423405132e+00 1.099782677708093e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.079126708909794e+00 -1.609753380705647e+00 1.140562096069464e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.159999999999997e+00 4.629629629629637e-01 -2.081336659485806e+00 -1.598129529347243e+00 1.184842081523390e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.169999999999996e+00 4.608294930875584e-01 -2.083601478455877e+00 -1.586042658953151e+00 1.233293107631583e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.179999999999996e+00 4.587155963302760e-01 -2.085923148967082e+00 -1.573446848385261e+00 1.286800080554682e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.189999999999996e+00 4.566210045662109e-01 -2.088303869061175e+00 -1.560285851001369e+00 1.346564756512791e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.199999999999996e+00 4.545454545454554e-01 -2.090746104235476e+00 -1.546489144098465e+00 1.414277691343198e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.209999999999996e+00 4.524886877828063e-01 -2.093252661756186e+00 -1.531965661265004e+00 1.492425393700209e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.219999999999995e+00 4.504504504504514e-01 -2.095826800671658e+00 -1.516593207560968e+00 1.584884468874369e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.229999999999995e+00 4.484304932735436e-01 -2.098472404875142e+00 -1.500199035845853e+00 1.698200114101070e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.239999999999995e+00 4.464285714285725e-01 -2.101194279348178e+00 -1.482519791978825e+00 1.844786546418512e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.249999999999995e+00 4.444444444444455e-01 -2.103998725977305e+00 -1.463102732587120e+00 2.053077025387561e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.259999999999994e+00 4.424778761061958e-01 -2.106894939223048e+00 -1.440968601944635e+00 2.418038021641888e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.269999999999994e+00 4.405286343612346e-01 -2.109901458786352e+00 -1.410864432989530e+00 3.616401938676971e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.279999999999994e+00 4.385964912280713e-01 -2.113044772191228e+00 -1.383582716170002e+00 2.338146517990759e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.289999999999994e+00 4.366812227074248e-01 -2.116292611402749e+00 -1.361991216994268e+00 2.015276646470930e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.299999999999994e+00 4.347826086956534e-01 -2.119628899001096e+00 -1.342866387695933e+00 1.822368686123095e+00
262144 262144 1.000000000000000e+00 1.000000000000000e+00 2.309999999999993e+00 4.329004329004341e-01 -2.123044618664622e+00 -1.325364028912175e+00 1.684623947498859e+00
