# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.051585625391085e+00 -1.745564575312560e+00 7.248714486015979e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.053133982647769e+00 -1.738219111143216e+00 7.443423493151878e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.054719374319227e+00 -1.730675217124059e+00 7.645668296477066e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.056342618500572e+00 -1.722925063641493e+00 7.856048389257516e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.058004565331328e+00 -1.714960184027865e+00 8.075240454920924e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.059706099847048e+00 -1.706771390716254e+00 8.304012149615105e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.061448145219625e+00 -1.698348676069136e+00 8.543239106463496e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.063231666460779e+00 -1.689681094209389e+00 8.793926109654112e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.065057674679882e+00 -1.680756619072500e+00 9.057233728860470e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.066927232011634e+00 -1.671561972377093e+00 9.334512195946065e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.068841457360799e+00 -1.662082413094381e+00 9.627345023406496e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.070801533153350e+00 -1.652301476998586e+00 9.937605932172943e-01
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.072808713341697e+00 -1.642200650560061e+00 1.026753428014813e+00
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.074864332994278e+00 -1.631758957081932e+00 1.061983671034769e+00
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.076969819912870e+00 -1.620952423405133e+00 1.099782677708067e+00
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.079126708889430e+00 -1.609753380705652e+00 1.140562096069429e+00
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.159999999999997e+00 4.629629629629637e-01 -2.081336659465395e+00 -1.598129529347241e+00 1.184842081523397e+00
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.169999999999996e+00 4.608294930875584e-01 -2.083601478435361e+00 -1.586042658953149e+00 1.233293107631601e+00
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.179999999999996e+00 4.587155963302760e-01 -2.085923148946415e+00 -1.573446848385259e+00 1.286800080554663e+00
1048576 1048576 1.000000000000000e+00 1.000000000000000e+00 2.189999999999996e+00 4.566210045662109e-01 -2.088303869040396e+00 -1.560285851001366e+00 1.346564756512755e+00
