# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
8 8 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.073268183725869e+00 -1.745683170293200e+00 7.141226028551420e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.074924070331367e+00 -1.738458740616859e+00 7.308046141330213e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.076616315825979e+00 -1.731066279142894e+00 7.477261963852390e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.078345577839158e+00 -1.723503477679285e+00 7.648693875970942e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.080112518427212e+00 -1.715768221633967e+00 7.822134078083224e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.081917802989184e+00 -1.707858618822444e+00 7.997345367537634e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.083762099060527e+00 -1.699773029393945e+00 8.174060132058265e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.085646074982714e+00 -1.691510096638272e+00 8.351979601897745e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.087570398448131e+00 -1.683068778393717e+00 8.530773402494046e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.089535734921161e+00 -1.674448378734985e+00 8.710079448439763e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.091542745937903e+00 -1.665648579580255e+00 8.889504217438240e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.093592087288738e+00 -1.656669471819426e+00 9.068623439527584e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.095684407089793e+00 -1.647511585532525e+00 9.246983232128133e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.097820343751297e+00 -1.638175918839689e+00 9.424101705380517e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.100000523852772e+00 -1.628663964903202e+00 9.599471054811628e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.102225559937034e+00 -1.618977736589356e+00 9.772560149659909e-01
