# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
64 64 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.051924076161593e+00 -1.745564575312522e+00 7.248714486051659e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.053474125672098e+00 -1.738219111143110e+00 7.443423493261518e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.055061209597459e+00 -1.730675217123774e+00 7.645668296807281e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.056686146032620e+00 -1.722925063640581e+00 7.856048390243981e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.058349785117232e+00 -1.714960184025179e+00 8.075240457831653e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.060053011886817e+00 -1.706771390708361e+00 8.304012158102079e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.061796749513318e+00 -1.698348676046137e+00 8.543239130908292e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.063581963008529e+00 -1.689681094143231e+00 8.793926179163016e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.065409663482049e+00 -1.680756618884534e+00 9.057233923882617e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.067280913069268e+00 -1.671561971850206e+00 9.334512735389955e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.069196830676699e+00 -1.662082411638178e+00 9.627346492961882e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.071158598734982e+00 -1.652301473034748e+00 9.937609869778904e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.073167471209269e+00 -1.642200639946869e+00 1.026754463977442e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.075224783200461e+00 -1.631758929177427e+00 1.061986341226489e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.077331962591974e+00 -1.620952351521236e+00 1.099789399789884e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.079490544376791e+00 -1.609753199816243e+00 1.140578554338091e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.159999999999997e+00 4.629629629629637e-01 -2.081702188574011e+00 -1.598129086546812e+00 1.184881031640674e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.169999999999996e+00 4.608294930875584e-01 -2.083968703068726e+00 -1.586041610851564e+00 1.233381369877744e+00
