# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.051586947463163e+00 -1.745564575312554e+00 7.248714486015750e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.053135311330176e+00 -1.738219111143207e+00 7.443423493151988e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.054720709612043e+00 -1.730675217124072e+00 7.645668296476676e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.056343960403708e+00 -1.722925063641480e+00 7.856048389257310e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.058005913844820e+00 -1.714960184027859e+00 8.075240454920679e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.059707454970891e+00 -1.706771390716256e+00 8.304012149614834e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.061449506953829e+00 -1.698348676069132e+00 8.543239106463952e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.063233034805351e+00 -1.689681094209394e+00 8.793926109653677e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.065059049634812e+00 -1.680756619072497e+00 9.057233728860854e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.066928613576955e+00 -1.671561972377099e+00 9.334512195946459e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.068842845536504e+00 -1.662082413094371e+00 9.627345023406571e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.070802927939332e+00 -1.652301476998586e+00 9.937605932172823e-01
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.072810114738020e+00 -1.642200650560062e+00 1.026753428014834e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.074865741001037e+00 -1.631758957081924e+00 1.061983671034773e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.076971234529986e+00 -1.620952423405132e+00 1.099782677708089e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.079128130116930e+00 -1.609753380705651e+00 1.140562096069463e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.159999999999997e+00 4.629629629629637e-01 -2.081338087303217e+00 -1.598129529347241e+00 1.184842081523399e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.169999999999996e+00 4.608294930875584e-01 -2.083602912883556e+00 -1.586042658953150e+00 1.233293107631581e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.179999999999996e+00 4.587155963302760e-01 -2.085924590005001e+00 -1.573446848385257e+00 1.286800080554680e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.189999999999996e+00 4.566210045662109e-01 -2.088305316709354e+00 -1.560285851001370e+00 1.346564756512767e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.199999999999996e+00 4.545454545454554e-01 -2.090747558493928e+00 -1.546489144098465e+00 1.414277691343230e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.209999999999996e+00 4.524886877828063e-01 -2.093254122624931e+00 -1.531965661265006e+00 1.492425393700211e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.219999999999995e+00 4.504504504504514e-01 -2.095828268150653e+00 -1.516593207560968e+00 1.584884468874401e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.229999999999995e+00 4.484304932735436e-01 -2.098473878964427e+00 -1.500199035845854e+00 1.698200114101140e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.239999999999995e+00 4.464285714285725e-01 -2.101195760047733e+00 -1.482519791978824e+00 1.844786546418555e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.249999999999995e+00 4.444444444444455e-01 -2.104000213287103e+00 -1.463102732587116e+00 2.053077025388564e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.259999999999994e+00 4.424778761061958e-01 -2.106896433143589e+00 -1.440968600434409e+00 2.418040152759877e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.269999999999994e+00 4.405286343612346e-01 -2.109902514561926e+00 -1.411882243181481e+00 3.628783821305374e+00
1024 1024 1.000000000000000e+00 1.000000000000000e+00 2.279999999999994e+00 4.385964912280713e-01 -2.113044773207739e+00 -1.383584461356500e+00 2.339455423895322e+00
