# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.051585708019418e+00 -1.745564575312553e+00 7.248714486015779e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.053134065689211e+00 -1.738219111143207e+00 7.443423493151996e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.054719457773862e+00 -1.730675217124072e+00 7.645668296476664e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.056342702368308e+00 -1.722925063641480e+00 7.856048389257301e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.058004649612200e+00 -1.714960184027858e+00 8.075240454920679e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.059706184541054e+00 -1.706771390716257e+00 8.304012149614827e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.061448230326772e+00 -1.698348676069132e+00 8.543239106463957e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.063231751981074e+00 -1.689681094209393e+00 8.793926109653697e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.065057760613320e+00 -1.680756619072496e+00 9.057233728860866e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.066927318358243e+00 -1.671561972377099e+00 9.334512195946442e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.068841544120573e+00 -1.662082413094371e+00 9.627345023406573e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.070801620326184e+00 -1.652301476998586e+00 9.937605932172850e-01
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.072808800927651e+00 -1.642200650560062e+00 1.026753428014832e+00
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.074864420993447e+00 -1.631758957081925e+00 1.061983671034769e+00
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.076969908325181e+00 -1.620952423405132e+00 1.099782677708088e+00
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.079126797714906e+00 -1.609753380705651e+00 1.140562096069465e+00
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.159999999999997e+00 4.629629629629637e-01 -2.081336748703972e+00 -1.598129529347241e+00 1.184842081523395e+00
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.169999999999996e+00 4.608294930875584e-01 -2.083601568087097e+00 -1.586042658953150e+00 1.233293107631575e+00
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.179999999999996e+00 4.587155963302760e-01 -2.085923239011319e+00 -1.573446848385258e+00 1.286800080554681e+00
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.189999999999996e+00 4.566210045662109e-01 -2.088303959518451e+00 -1.560285851001370e+00 1.346564756512769e+00
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.199999999999996e+00 4.545454545454554e-01 -2.090746195105807e+00 -1.546489144098466e+00 1.414277691343228e+00
4096 4096 1.000000000000000e+00 1.000000000000000e+00 2.209999999999996e+00 4.524886877828063e-01 -2.093252753039590e+00 -1.531965661265006e+00 1.492425393700196e+00
