# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.051585630554189e+00 -1.745564575312554e+00 7.248714486015722e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.053133987836654e+00 -1.738219111143205e+00 7.443423493152020e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.054719379533977e+00 -1.730675217124072e+00 7.645668296476679e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.056342623741091e+00 -1.722925063641481e+00 7.856048389257323e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.058004570597666e+00 -1.714960184027858e+00 8.075240454920672e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.059706105139190e+00 -1.706771390716255e+00 8.304012149614839e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.061448150537575e+00 -1.698348676069132e+00 8.543239106463971e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.063231671804565e+00 -1.689681094209395e+00 8.793926109653666e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.065057680049475e+00 -1.680756619072498e+00 9.057233728860895e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.066927237407073e+00 -1.671561972377100e+00 9.334512195946496e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.068841462782083e+00 -1.662082413094370e+00 9.627345023406523e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.070801538600360e+00 -1.652301476998587e+00 9.937605932172815e-01
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.072808718814502e+00 -1.642200650560061e+00 1.026753428014833e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.074864338492981e+00 -1.631758957081925e+00 1.061983671034771e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.076969825437377e+00 -1.620952423405132e+00 1.099782677708094e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.079126714439781e+00 -1.609753380705651e+00 1.140562096069470e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.159999999999997e+00 4.629629629629637e-01 -2.081336665041521e+00 -1.598129529347242e+00 1.184842081523397e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.169999999999996e+00 4.608294930875584e-01 -2.083601484037319e+00 -1.586042658953150e+00 1.233293107631575e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.179999999999996e+00 4.587155963302760e-01 -2.085923154574211e+00 -1.573446848385259e+00 1.286800080554683e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.189999999999996e+00 4.566210045662109e-01 -2.088303874694027e+00 -1.560285851001370e+00 1.346564756512772e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.199999999999996e+00 4.545454545454554e-01 -2.090746109894055e+00 -1.546489144098466e+00 1.414277691343223e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.209999999999996e+00 4.524886877828063e-01 -2.093252667440511e+00 -1.531965661265006e+00 1.492425393700201e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.219999999999995e+00 4.504504504504514e-01 -2.095826806381687e+00 -1.516593207560968e+00 1.584884468874391e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.229999999999995e+00 4.484304932735436e-01 -2.098472410610920e+00 -1.500199035845855e+00 1.698200114101087e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.239999999999995e+00 4.464285714285725e-01 -2.101194285109680e+00 -1.482519791978824e+00 1.844786546418516e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.249999999999995e+00 4.444444444444455e-01 -2.103998731764507e+00 -1.463102732587120e+00 2.053077025387570e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.259999999999994e+00 4.424778761061958e-01 -2.106894945035985e+00 -1.440968601944636e+00 2.418038021641752e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.269999999999994e+00 4.405286343612346e-01 -2.109901458787088e+00 -1.410864452731573e+00 3.616641853917515e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.279999999999994e+00 4.385964912280713e-01 -2.113044772191222e+00 -1.383582716170003e+00 2.338146517990777e+00
16384 16384 1.000000000000000e+00 1.000000000000000e+00 2.289999999999994e+00 4.366812227074248e-01 -2.116292611402727e+00 -1.361991216994268e+00 2.015276646470894e+00
