# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
32 32 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.052939428934603e+00 -1.745564527034573e+00 7.248739781986853e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.054494555525657e+00 -1.738219029934352e+00 7.443465402940205e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.056086716744209e+00 -1.730675081620760e+00 7.645737105014117e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.057716730819667e+00 -1.722924839456713e+00 7.856160272111045e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.059385448105707e+00 -1.714959816447425e+00 8.075420487076465e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.061093753974377e+00 -1.706770793787139e+00 8.304298563393260e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.062842572119624e+00 -1.698347716686325e+00 8.543689074311871e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.064632868350585e+00 -1.689679569604168e+00 8.794623145007598e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.066465654973157e+00 -1.680754226230807e+00 9.058296284441354e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.068341995879815e+00 -1.671558268845807e+00 9.336101877367829e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.070263012490984e+00 -1.662076771263323e+00 9.629670476966501e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.072229890714456e+00 -1.652293039899202e+00 9.940913985600501e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.074243889106984e+00 -1.642188309309103e+00 1.027207181195437e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.076306348424961e+00 -1.631741393043210e+00 1.062575262862838e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.078418702723035e+00 -1.620928299622607e+00 1.100495977603245e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.080582492075460e+00 -1.609721839324185e+00 1.141307998814350e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.159999999999997e+00 4.629629629629637e-01 -2.082799376817863e+00 -1.598091273311705e+00 1.185380351969535e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.169999999999996e+00 4.608294930875584e-01 -2.085071152886919e+00 -1.586002095610288e+00 1.233092930739808e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.179999999999996e+00 4.587155963302760e-01 -2.087399767311543e+00 -1.573416092461144e+00 1.284799366390734e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.189999999999996e+00 4.566210045662109e-01 -2.089787332121835e+00 -1.560291891045848e+00 1.340765056351673e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.199999999999996e+00 4.545454545454554e-01 -2.092236133856835e+00 -1.546586281108194e+00 1.401073600516412e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.209999999999996e+00 4.524886877828063e-01 -2.094748634506042e+00 -1.532256646361259e+00 1.465498388506965e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.219999999999995e+00 4.504504504504514e-01 -2.097327458287222e+00 -1.517264837868937e+00 1.533344503228286e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.229999999999995e+00 4.484304932735436e-01 -2.099975357532039e+00 -1.501582701922464e+00 1.603280772621674e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.239999999999995e+00 4.464285714285725e-01 -2.102695150764695e+00 -1.485199179896791e+00 1.673201732404789e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.249999999999995e+00 4.444444444444455e-01 -2.105489627652912e+00 -1.468128397626113e+00 1.740178901331095e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.259999999999994e+00 4.424778761061958e-01 -2.108361419652228e+00 -1.450417512229544e+00 1.800568732696485e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.269999999999994e+00 4.405286343612346e-01 -2.111312842061130e+00 -1.432152474692476e+00 1.850326322876497e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.279999999999994e+00 4.385964912280713e-01 -2.114345721919130e+00 -1.413459613947387e+00 1.885520469500616e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.289999999999994e+00 4.366812227074248e-01 -2.117461234335388e+00 -1.394501379042507e+00 1.902966021811101e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.299999999999994e+00 4.347826086956534e-01 -2.120659774095699e+00 -1.375465805186666e+00 1.900816613344821e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.309999999999993e+00 4.329004329004341e-01 -2.123940886894433e+00 -1.356551005733944e+00 1.878939201543376e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.319999999999993e+00 4.310344827586219e-01 -2.127303274668129e+00 -1.337947565137089e+00 1.838947249004832e+00
